iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-3929138.684863574,tonnes,annual,2022-10-10 17:13:05.122089,2022-10-24 16:24:13.032857
CHN,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-3929138.684863574,tonnes,annual,2022-10-10 17:13:05.122094,2022-10-24 16:24:13.032857
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,4876847.817968183,tonnes,annual,2022-10-10 17:13:05.122165,2022-10-24 16:24:13.032857
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,4876847.817968183,tonnes,annual,2022-10-10 17:13:05.122181,2022-10-24 16:24:13.032857
CIV,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,4876847.817968183,tonnes,annual,2022-10-10 17:13:05.122186,2022-10-24 16:24:13.032857
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,12536449.601570098,tonnes,annual,2022-10-10 17:13:05.122259,2022-10-24 16:24:13.032857
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,12536449.601570098,tonnes,annual,2022-10-10 17:13:05.122275,2022-10-24 16:24:13.032857
CMR,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,12536449.601570098,tonnes,annual,2022-10-10 17:13:05.122279,2022-10-24 16:24:13.032857
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-233486983.43939167,tonnes,annual,2022-10-10 17:13:05.122357,2022-10-24 16:24:13.032857
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-233486983.43939167,tonnes,annual,2022-10-10 17:13:05.122379,2022-10-24 16:24:13.032857
COD,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-233486983.43939167,tonnes,annual,2022-10-10 17:13:05.122385,2022-10-24 16:24:13.032857
COG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-32040997.57620031,tonnes,annual,2022-10-10 17:13:05.122457,2022-10-24 16:24:13.032857
COG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-32040997.57620031,tonnes,annual,2022-10-10 17:13:05.122513,2022-10-24 16:24:13.032857
COG,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-32040997.57620031,tonnes,annual,2022-10-10 17:13:05.12252,2022-10-24 16:24:13.032857
COL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-17391525.626921974,tonnes,annual,2022-10-10 17:13:05.1228,2022-10-24 16:24:13.032857
COL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-17391525.626921974,tonnes,annual,2022-10-10 17:13:05.122826,2022-10-24 16:24:13.032857
COL,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_20yr,-17391525.626921974,tonnes,annual,2022-10-10 17:13:05.122836,2022-10-24 16:24:13.032857
COM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2,-4085.060786679584,tonnes,annual,2022-10-10 17:13:05.122921,2022-10-24 16:24:13.032857
COM,2021-01-01 00:00:00,2021-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-4085.060786679584,tonnes,annual,2022-10-10 17:13:05.122938,2022-10-24 16:24:13.032857
BFA,2020-01-01 00:00:00,2020-12-31 00:00:00,net-grassland-emissions,co2,2617243.475054295,tonnes,annual,2022-10-10 17:13:05.15141,2022-10-24 16:24:22.621246
BFA,2020-01-01 00:00:00,2020-12-31 00:00:00,net-grassland-emissions,co2e_100yr,2617243.475054295,tonnes,annual,2022-10-10 17:13:05.151428,2022-10-24 16:24:22.621246
BFA,2020-01-01 00:00:00,2020-12-31 00:00:00,net-grassland-emissions,co2e_20yr,2617243.475054295,tonnes,annual,2022-10-10 17:13:05.151433,2022-10-24 16:24:22.621246
BGD,2020-01-01 00:00:00,2020-12-31 00:00:00,net-grassland-emissions,co2,-57613.05645765269,tonnes,annual,2022-10-10 17:13:05.151503,2022-10-24 16:24:22.621246
BGD,2020-01-01 00:00:00,2020-12-31 00:00:00,net-grassland-emissions,co2e_100yr,-57613.05645765269,tonnes,annual,2022-10-10 17:13:05.151519,2022-10-24 16:24:22.621246
